City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
6,Salalah,OM,80.69,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
13,Acapulco,MX,84.06,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
15,Mucurapo,TT,88.25,overcast clouds,10.6667,-61.5333,Courtyard by Marriott Port of Spain
19,Vao,NC,76.5,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
24,Catuday,PH,80.65,overcast clouds,16.2923,119.8062,Benjie's Kubo & Cottages
25,Mandera,KE,87.28,overcast clouds,3.9366,41.867,Mwalimu Guest mandera
26,Rikitea,PF,76.19,light rain,-23.1203,-134.9692,People ThankYou
31,Kapaa,US,75.52,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
33,Atuona,PF,78.33,few clouds,-9.8,-139.0333,Villa Enata
34,Vaini,TO,76.3,overcast clouds,-21.2,-175.2,Keleti Beach Resort
36,Castro,BR,82.31,clear sky,-24.7911,-50.0119,CHACARA BAILLY
42,Luanda,AO,82.4,few clouds,-8.8368,13.2343,Hotel Fórum
44,Saint-Philippe,RE,78.39,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
50,Mahebourg,MU,79.09,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
51,Butaritari,KI,80.46,light rain,3.0707,172.7902,Isles Sunset Lodge
56,San Cristobal,VE,77.18,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
57,Hambantota,LK,77.7,clear sky,6.1241,81.1185,Bungalow 63
58,Samarai,PG,82.6,overcast clouds,-10.6167,150.6667,Nuli Sapi
59,Papara,BR,88.72,overcast clouds,-3.9839,-38.7273,Romin mentes de mais
60,Bonthe,SL,82.53,light rain,7.5264,-12.505,Bonthe Holiday Village
65,Georgetown,MY,80.55,few clouds,5.4112,100.3354,Cititel Penang
66,Bubaque,GW,82.6,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
74,Kahului,US,75.85,light rain,20.8947,-156.47,Maui Seaside Hotel
84,Viedma,AR,81.61,clear sky,-40.8135,-62.9967,Hotel Cristal
85,Ambanja,MG,76.98,clear sky,-13.6833,48.45,Hotel Salama and Fast Food
87,Lorengau,PG,82.6,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
88,Iracoubo,GF,83.55,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
91,Weligama,LK,76.77,scattered clouds,5.9667,80.4167,Weligama Bay Resort
102,Tabou,CI,81.72,overcast clouds,4.423,-7.3528,hotêl doufoulougou
105,Souillac,MU,79.18,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
106,Bengkulu,ID,75.6,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
107,Soyo,AO,84.25,overcast clouds,-6.1349,12.3689,Hotel Mpampa
111,Saint-Georges,GD,83.05,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
115,Hithadhoo,MV,82.11,few clouds,-0.6,73.0833,Scoop Guest House
120,Arlit,NE,82.6,overcast clouds,18.7369,7.3853,Case de Passage De la Prefecture
122,Sao Gabriel Da Cachoeira,BR,87.6,broken clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
136,Pandamatenga,BW,86.13,overcast clouds,-18.5278,25.627,Wildtrack Safaris Eco Lodge
137,Hukay,PH,79.72,scattered clouds,13.8452,120.7029,Coral Bay Rest House
140,Puerto Ayora,EC,76.96,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
144,Altagracia De Orituco,VE,88.34,overcast clouds,9.8601,-66.3814,Posada Quinta Mi Refugio
151,Avarua,CK,75.25,light rain,-21.2078,-159.775,Paradise Inn
154,Bima,ID,77.45,overcast clouds,-8.4667,118.7167,Lambitu Hotel
156,Sambava,MG,76.41,clear sky,-14.2667,50.1667,Melrose
159,Cap Malheureux,MU,79.29,few clouds,-19.9842,57.6142,Pereybere Hotel & Spa
166,Tautira,PF,80.62,light rain,-17.7333,-149.15,Pension Oaoa
170,Cabo San Lucas,MX,83.52,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
171,Porto Walter,BR,77.14,overcast clouds,-8.2686,-72.7439,Secretaria de saúde
175,Cockburn Town,TC,79.21,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
178,Lazaro Cardenas,MX,82.72,few clouds,17.9583,-102.2,quinta antigua
181,Monrovia,LR,89.37,scattered clouds,6.3005,-10.7969,Sunset Inn
182,Khartoum,SD,89.02,clear sky,15.5518,32.5324,Hotel China
184,San Matias,BO,85.77,overcast clouds,-16.3667,-58.4,"HOTEL ""SAN JOSE"""
186,Faanui,PF,80.85,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
188,Bambous Virieux,MU,79.05,few clouds,-20.3428,57.7575,Casa Tia Villa
189,Arraial Do Cabo,BR,80.56,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
190,Sao Joao Da Barra,BR,86.09,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
192,Townsville,AU,77.88,broken clouds,-19.25,146.8,Rydges Southbank Townsville
200,Praia,CV,79.34,broken clouds,14.9215,-23.5087,LT Aparthotel
207,San Andres,CO,80.62,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
212,Biltine,TD,86.74,clear sky,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
215,Biak,ID,76.71,overcast clouds,-0.9131,122.8766,Penginapan Kim
216,Karratha,AU,84.0,light rain,-20.7377,116.8463,ibis Styles Karratha
219,Alyangula,AU,76.87,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
222,Port-Gentil,GA,84.16,light rain,-0.7193,8.7815,Fengshui Residence
223,Cidreira,BR,77.16,broken clouds,-30.1811,-50.2056,Hotel Castelo
224,Vila Velha,BR,85.95,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
227,Padang,ID,75.81,broken clouds,-0.9492,100.3543,Mercure Padang
228,Mangalam,IN,78.13,clear sky,9.7667,78.6667,Sathishkumar yadav
229,Siocon,PH,79.07,moderate rain,7.7061,122.1353,ABS Hotel
232,Harlingen,US,76.19,few clouds,26.1906,-97.6961,Courtyard by Marriott Harlingen
239,Hermosillo,MX,76.84,clear sky,29.0667,-110.9667,ibis Hermosillo
241,Natal,BR,88.45,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
242,Luwuk,ID,77.85,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
245,Kovur,IN,76.28,few clouds,14.4833,79.9833,Hotel Yesh Park
248,Isangel,VU,77.9,scattered clouds,-19.55,169.2667,Tanna Lodge
250,Namatanai,PG,80.17,light rain,-3.6667,152.4333,Seagulls Inn Namatani
251,Pimenta Bueno,BR,87.48,overcast clouds,-11.6725,-61.1936,Cristalina Palace Hotel
252,Waingapu,ID,79.45,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
257,Kralendijk,BQ,81.63,broken clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
264,Pemangkat,ID,79.92,broken clouds,1.1667,108.9667,Ramah Kost KITA
265,Saint-Pierre,RE,78.48,clear sky,-21.3393,55.4781,Lindsey Hôtel
270,Sao Filipe,CV,75.2,overcast clouds,14.8961,-24.4956,Hotel Xaguate
280,Pucallpa,PE,84.24,broken clouds,-8.3791,-74.5539,Hospedaje Komby
291,Itarema,BR,88.3,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
292,Ternate,ID,80.22,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
294,Inirida,CO,89.69,broken clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
299,Sotuta,MX,83.84,clear sky,20.6,-89.0167,"Posada ""Las Palmas"""
300,Neiafu,TO,79.56,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
303,Quatre Cocos,MU,78.91,clear sky,-20.2078,57.7625,Sunrise Attitude Hotel
304,Touros,BR,88.7,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
311,Madang,PG,76.32,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
312,Kirakira,SB,79.9,broken clouds,-10.4544,161.9205,SanBiz Lodge
313,Sikonge,TZ,78.89,overcast clouds,-5.6333,32.7667,Pretoria 2 Lodge
315,Kuah,MY,78.8,few clouds,6.3265,99.8432,Azio Hotel
316,Cayenne,GF,86.04,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
318,Mtwara,TZ,81.73,scattered clouds,-10.2667,40.1833,TIL Hotels Mtwara
322,Sur,OM,75.69,clear sky,22.5667,59.5289,Sur Plaza Hotel
323,Dar Es Salaam,TZ,79.61,broken clouds,-6.8235,39.2695,Hotel Nikko Tower
331,Honiara,SB,78.66,scattered clouds,-9.4333,159.95,Heritage Park Hotel
333,Sinnamary,GF,81.86,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
336,Encruzilhada Do Sul,BR,77.36,scattered clouds,-30.5439,-52.5219,Conceição Palace Hotel
343,Auki,SB,78.87,overcast clouds,-8.7676,160.7034,Auki Motel
352,Shurugwi,ZW,78.37,clear sky,-19.6702,30.0059,Flame Lily Lodge
356,Mombasa,KE,79.7,light rain,-4.0547,39.6636,Marigold Guest House
