City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,New Norfolk,AU,-42.7826,147.0587,60.3,89,11,3.42,few clouds
1,Tazovskiy,RU,67.4667,78.7,-21.41,99,19,7.05,few clouds
2,Yerbogachen,RU,61.2767,108.0108,5.74,97,100,2.28,overcast clouds
3,La Rioja,ES,42.25,-2.5,47.05,88,7,4.56,clear sky
4,Khatanga,RU,71.9667,102.5,-38.02,100,76,2.75,broken clouds
5,Hermanus,ZA,-34.4187,19.2345,69.91,73,74,9.73,broken clouds
6,Salalah,OM,17.0151,54.0924,80.69,19,0,8.05,clear sky
7,Komsomolskiy,UZ,40.4272,71.7189,40.42,70,61,2.3,mist
8,Barrow,US,71.2906,-156.7887,-16.58,69,20,9.22,haze
9,Airai,TL,-8.9266,125.4092,62.13,89,100,1.81,overcast clouds
10,Punta Arenas,CL,-53.15,-70.9167,62.71,34,0,25.32,clear sky
11,Yamada,JP,39.4667,141.95,58.77,82,100,30.49,light rain
12,Genhe,CN,50.7833,121.5167,-6.61,100,36,1.32,scattered clouds
13,Acapulco,MX,16.8634,-99.8901,84.06,61,76,1.66,broken clouds
14,Port Elizabeth,ZA,-33.918,25.5701,66.49,72,0,12.66,clear sky
15,Mucurapo,TT,10.6667,-61.5333,88.25,70,98,1.01,overcast clouds
16,Voyvozh,RU,62.892,54.9635,17.33,92,100,17.87,snow
17,Carnarvon,AU,-24.8667,113.6333,69.87,78,40,20.71,scattered clouds
18,Mataura,NZ,-46.1927,168.8643,49.48,86,100,3.98,overcast clouds
19,Vao,NC,-22.6667,167.4833,76.5,87,0,11.12,clear sky
20,Mount Gambier,AU,-37.8333,140.7667,67.91,45,74,8.05,broken clouds
21,Sitka,US,57.0531,-135.33,40.89,75,90,5.75,moderate rain
22,Busselton,AU,-33.65,115.3333,49.08,82,0,7.09,clear sky
23,Bluff,NZ,-46.6,168.3333,49.8,82,100,14.52,overcast clouds
24,Catuday,PH,16.2923,119.8062,80.65,79,92,23.67,overcast clouds
25,Mandera,KE,3.9366,41.867,87.28,28,90,8.32,overcast clouds
26,Rikitea,PF,-23.1203,-134.9692,76.19,77,5,23.51,light rain
27,Cabedelo,BR,-6.9811,-34.8339,90.27,68,44,12.53,scattered clouds
28,Bethel,US,41.3712,-73.414,41.05,69,90,1.01,overcast clouds
29,Arbore,RO,47.7333,25.9333,34.41,60,32,11.43,scattered clouds
30,Bilibino,RU,68.0546,166.4372,-0.31,97,100,1.21,overcast clouds
31,Kapaa,US,22.0752,-159.319,75.52,78,40,1.01,light rain
32,Grindavik,IS,63.8424,-22.4338,30.67,74,75,8.05,broken clouds
33,Atuona,PF,-9.8,-139.0333,78.33,75,12,22.88,few clouds
34,Vaini,TO,-21.2,-175.2,76.3,69,93,17.72,overcast clouds
35,Namtsy,RU,62.7161,129.6658,-12.48,99,100,2.55,overcast clouds
36,Castro,BR,-24.7911,-50.0119,82.31,27,0,8.77,clear sky
37,Hasaki,JP,35.7333,140.8333,61.2,72,100,34.72,moderate rain
38,Ushuaia,AR,-54.8,-68.3,53.26,58,75,6.91,broken clouds
39,Hilo,US,19.7297,-155.09,72.28,86,75,4.61,moderate rain
40,High Level,CA,58.5169,-117.136,1.51,85,90,12.66,light snow
41,Bredasdorp,ZA,-34.5322,20.0403,67.28,66,98,10.54,overcast clouds
42,Luanda,AO,-8.8368,13.2343,82.4,74,20,13.8,few clouds
43,Novo Aripuana,BR,-5.1206,-60.3797,90.64,55,100,2.19,moderate rain
44,Saint-Philippe,RE,-21.3585,55.7679,78.39,79,46,8.93,scattered clouds
45,Luderitz,NA,-26.6481,15.1594,68.04,60,0,23.35,clear sky
46,Albany,US,42.6001,-73.9662,35.58,74,97,1.01,overcast clouds
47,Tiksi,RU,71.6872,128.8694,-22.68,99,99,6.76,overcast clouds
48,Hirara,JP,24.8,125.2833,66.69,67,100,38.03,overcast clouds
49,Nikolskoye,RU,59.7035,30.7861,22.91,94,100,11.25,light snow
50,Mahebourg,MU,-20.4081,57.7,79.09,69,20,2.3,few clouds
51,Butaritari,KI,3.0707,172.7902,80.46,80,98,8.86,light rain
52,Marsh Harbour,BS,26.5412,-77.0636,72.39,54,29,6.85,scattered clouds
53,Nanortalik,GL,60.1432,-45.2371,32.67,85,100,3.29,overcast clouds
54,Horadiz,AZ,39.4488,47.3353,52.57,33,90,8.28,overcast clouds
55,Arshan,RU,46.2732,44.22,44.98,93,0,8.95,clear sky
